Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
7354,Newark,19713,11/29/2016,PV,Residential,5.98,,,,29900.00,1000.00,rooftop,ppa,Paid
7919,Middletown,19709,11/30/2016,PV,Residential,5.98,,,,26611.00,1000.00,rooftop,ppa,Paid
8321,Wilmington,19808,12/06/2016,PV,Residential,5.98,,,,33553.00,1000.00,rooftop,ppa,Paid
7282,Millsboro,19966,07/12/2017,PV,Residential,5.98,,,,29900.00,1000.00,rooftop,ppa,Paid
8005,Wilmington,19808,07/12/2017,PV,Residential,5.98,,,,26611.00,1000.00,rooftop,ppa,Paid
8558,Newark,19713,11/29/2016,PV,Residential,5.98,,,,24159.00,1000.00,rooftop,ppa,Paid
8605,Bear,19701,12/21/2016,PV,Residential,5.98,,,,42016.00,1000.00,rooftop,lease,Paid
8630,Bear,19701,11/14/2016,PV,Residential,5.98,,,,45167.00,1000.00,rooftop,lease,Paid
8742,New Castle,19720,12/15/2016,PV,Residential,5.98,,,,47268.00,1000.00,rooftop,ppa,Paid
7613,New Castle,19720,08/16/2016,PV,Residential,5.98,,,,57200.00,1000.00,rooftop,ppa,Paid
8521,Townsend,19734,01/27/2017,PV,Residential,5.98,,,,24159.00,1000.00,rooftop,lease,Paid
8565,Wilmington,19805,10/26/2016,PV,Residential,5.98,,,,43805.00,2946.00,rooftop,owned,Paid
8805,Dover,19901,12/19/2016,PV,Residential,5.98,,,,24159.00,1000.00,rooftop,lease,Paid
8807,Bear,19701,12/19/2016,PV,Residential,5.98,,,,49369.00,1000.00,rooftop,lease,Paid
7499,Newark,19711,03/30/2016,PV,Residential,5.98,,,,37700.00,1000.00,ground,ppa,Paid
8906,Wilmington,19808,08/04/2017,PV,Residential,5.98,,,,34663.00,1000.00,rooftop,lease,Paid
